slug,current_source,confidence,suggested_source,rationale
achyutashtakam,Traditional Vaishnavite Literature,medium,Traditional Vaishnavite Literature,
aditya-hridayam,Valmiki Ramayana - Yuddha Kanda,high,Valmiki Ramayana - Yuddha Kanda,OK for Ramayana stotras
aditya-kavacham,Bhavishya Purana,medium,Bhavishya Purana,
aditya-stotram,Puranic Compilation,medium,Puranic Compilation,
agni-ashtakam,Agni Purana,medium,Agni Purana,
agni-chalisa,Vedic Agni Worship Tradition (Rig Veda / Yajur Veda),medium,Vedic Agni Worship Tradition (Rig Veda / Yajur Veda),
agni-dwadash-nama,Rig Veda,medium,Rig Veda,
agni-gayatri,Rig Veda,medium,Rig Veda,
agni-kavacham,Agni Purana,medium,Agni Purana,
agni-stotram,Rig Veda,medium,Rig Veda,
agni-suktam,"Rigveda (Mandala 1, Sukta 1)",high,"Rigveda (Mandala 1, Sukta 1)",OK Vedic
ahoi-ashtami-vrat-katha,Traditional Folk Katha,medium,Traditional Folk Katha,
akrura-stuti,Shrimad Bhagavata Purana 10.40,high,Shrimad Bhagavata Purana 10.40,OK for Vaishnava stotras from SB
amba-stuti,Markandeya Purana (Durga Saptashati tradition),medium,Markandeya Purana (Durga Saptashati tradition),
ambika-ashtakam,Devi Purana,medium,Devi Purana,
ananda-lahari,Ananda Lahari (Saundarya Lahari Part 1) — Adi Shankaracharya,high,Ananda Lahari (Saundarya Lahari Part 1) — Adi Shankaracharya,OK for Shankara compositions
ananthashayana-stotram,Vishnu Purana,high,Vishnu Purana,OK
anjaneya-dandakam,Traditional (South Indian Tradition),medium,Traditional (South Indian Tradition),
anjaneya-stotram,Traditional Hanuman Literature,medium,Traditional Hanuman Literature,
annapurna-ashtakam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
annapurna-chalisa,Folk Tradition,medium,Folk Tradition,
annapurna-stotram-shankaracharya,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
annapurna-stotram,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
apah-suktam,"Rigveda (Mandala 10, Sukta 9)",high,"Rigveda (Mandala 10, Sukta 9)",OK Vedic
aparajita-stotram,Markandeya Purana,medium,Markandeya Purana,
ardhanareeshwara-stotram,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
argala-stotram,Durga Saptashati (Markandeya Purana),medium,Durga Saptashati (Markandeya Purana),
arogya-suktam,Rigveda and Yajurveda - Vedic Compilation,high,Rigveda and Yajurveda - Vedic Compilation,OK Vedic
ashta-bhairava-stotram,Rudrayamala Tantra,medium,Rudrayamala Tantra,
ashta-dikpalaka-stotram,Vastu Shastra and Matsya Purana,medium,Vastu Shastra and Matsya Purana,
ashta-lakshmi-dhyanam,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
ashta-lakshmi-kavacham,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
ashtalakshmi-stotram,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
ashtavakra-gita-key-verses,Ashtavakra Gita,medium,Ashtavakra Gita,
