file,before,after
ahoi-ashtami-vrat-katha.json,"children;protection;family-welfare;devotion","children;protection;family-harmony;devotion"
ananda-lahari.json,"devotion;prosperity;protection;liberation","devotion;prosperity;protection;moksha"
anjaneya-dandakam.json,"devotion;protection;health;strength;obstacle-removal","devotion;protection;health;strength;removal-of-obstacles"
anjaneya-stotram.json,"protection;strength;victory;devotion;obstacle-removal","protection;strength;victory;devotion;removal-of-obstacles"
ashta-bhairava-stotram.json,"protection;fear-removal;health;obstacle-removal;devotion","protection;fear-removal;health;removal-of-obstacles;devotion"
ashtavakra-gita-key-verses.json,"wisdom;liberation;spiritual-growth;meditation","wisdom;moksha;spiritual-growth;meditation"
ashtavinayak-stotram.json,"obstacle-removal;pilgrimage;success;devotion","removal-of-obstacles;pilgrimage;success;devotion"
atma-bodha.json,"liberation;knowledge;peace;devotion","moksha;knowledge;peace;devotion"
avadhuta-gita-key-verses.json,"spiritual-growth;knowledge;meditation;liberation","spiritual-growth;knowledge;meditation;moksha"
avadhuta-stotram.json,"spiritual-growth;wisdom;liberation;devotion","spiritual-growth;wisdom;moksha;devotion"
ayodhya-stotram.json,"devotion;pilgrimage;liberation;peace;dharma","devotion;pilgrimage;moksha;peace;dharma"
badrinath-stotram.json,"devotion;pilgrimage;liberation;knowledge","devotion;pilgrimage;moksha;knowledge"
bhagavad-gita-chapter-12.json,"devotion;spiritual-growth;knowledge;liberation","devotion;spiritual-growth;knowledge;moksha"
bhairav-aarti.json,"protection;removal-of-graha-dosha;fearlessness;devotion;aarti","protection;graha-shanti;fearlessness;devotion;aarti"
bhairav-chalisa.json,"protection;removal-of-graha-dosha;fearlessness;devotion","protection;graha-shanti;fearlessness;devotion"
bhaja-govindam.json,"spiritual-growth;knowledge;liberation;devotion;peace","spiritual-growth;knowledge;moksha;devotion;peace"
bhimashankar-stotram.json,"devotion;protection;pilgrimage;liberation","devotion;protection;pilgrimage;moksha"
bhishma-stuti.json,"devotion;spiritual-growth;liberation;peace","devotion;spiritual-growth;moksha;peace"
brahma-murari-stotram.json,"morning-prayer;protection;auspiciousness;peace;devotion","daily-worship;protection;auspiciousness;peace;devotion"
chatuh-shloki-bhagavatam.json,"knowledge;spiritual-growth;liberation;meditation","knowledge;spiritual-growth;moksha;meditation"
dakshinamurthy-stotram.json,"spiritual-growth;knowledge;liberation;devotion","spiritual-growth;knowledge;moksha;devotion"
dasha-shloki.json,"liberation;knowledge;peace","moksha;knowledge;peace"
dashavatara-stotram.json,"devotion;knowledge;spiritual-growth;liberation","devotion;knowledge;spiritual-growth;moksha"
dattatreya-ashtakam.json,"spiritual-growth;knowledge;protection;devotion;liberation","spiritual-growth;knowledge;protection;devotion;moksha"
dattatreya-upanishad-key-verses.json,"spiritual-growth;wisdom;devotion;liberation","spiritual-growth;wisdom;devotion;moksha"
dhruva-stuti.json,"devotion;spiritual-growth;determination;liberation","devotion;spiritual-growth;determination;moksha"
dwarkadhish-aarti.json,"devotion;worship;prosperity;peace;liberation;aarti","devotion;worship;prosperity;peace;moksha;aarti"
dwarkadhish-stotram.json,"devotion;pilgrimage;prosperity;liberation","devotion;pilgrimage;prosperity;moksha"
eka-shloki.json,"knowledge;liberation;peace","knowledge;moksha;peace"
gajendra-moksha-stotram.json,"liberation;protection;devotion;removal-of-obstacles;spiritual-growth","moksha;protection;devotion;removal-of-obstacles;spiritual-growth"
ganesh-bhujanga-stotram.json,"obstacle-removal;success;knowledge;devotion","removal-of-obstacles;success;knowledge;devotion"
ganesha-ashtottara-shatanamavali.json,"archana-puja;obstacle-removal;success;devotion","archana-puja;removal-of-obstacles;success;devotion"
ganesha-hridayam.json,"obstacle-removal;devotion;success;protection","removal-of-obstacles;devotion;success;protection"
ganesha-mangala-stotram.json,"obstacle-removal;devotion;new-beginnings;auspiciousness","removal-of-obstacles;devotion;new-beginnings;auspiciousness"
ganesha-mangalashtakam.json,"obstacle-removal;auspiciousness;success;devotion","removal-of-obstacles;auspiciousness;success;devotion"
ganesha-pancharatnam.json,"obstacle-removal;success;knowledge;devotion","removal-of-obstacles;success;knowledge;devotion"
ganesha-stuti-mudgala-purana.json,"obstacle-removal;devotion;wisdom;spiritual-growth","removal-of-obstacles;devotion;wisdom;spiritual-growth"
ganga-ashtakam.json,"purification;liberation;devotion;removal-of-sins","purification;moksha;devotion;sin-removal"
ganga-stotram.json,"purification;liberation;devotion;removal-of-sins","purification;moksha;devotion;sin-removal"
gauri-chalisa.json,"devotion;prosperity;marital-harmony;obstacle-removal","devotion;prosperity;marital-harmony;removal-of-obstacles"
gita-mahatmya.json,"knowledge;devotion;spiritual-growth;liberation;peace","knowledge;devotion;spiritual-growth;moksha;peace"
govinda-damodara-stotram.json,"devotion;spiritual-growth;peace;liberation","devotion;spiritual-growth;peace;moksha"
grishneshwar-stotram.json,"devotion;pilgrimage;liberation;family","devotion;pilgrimage;moksha;family-harmony"
guru-ashtakam.json,"spiritual-growth;knowledge;devotion;liberation","spiritual-growth;knowledge;devotion;moksha"
guru-gita.json,"spiritual-growth;knowledge;devotion;liberation","spiritual-growth;knowledge;devotion;moksha"
guru-paduka-stotram.json,"spiritual-growth;devotion;knowledge;liberation","spiritual-growth;devotion;knowledge;moksha"
guru-vandana.json,"devotion;knowledge;spiritual-growth;liberation","devotion;knowledge;spiritual-growth;moksha"
hanuman-stuti-parasara.json,"protection;strength;health;devotion;obstacle-removal","protection;strength;health;devotion;removal-of-obstacles"
hare-krishna-mahamantra.json,"devotion;spiritual-growth;liberation;purification;peace","devotion;spiritual-growth;moksha;purification;peace"
hari-stotram.json,"devotion;peace;spiritual-growth;liberation","devotion;peace;spiritual-growth;moksha"
hastamalaka-stotram.json,"knowledge;liberation;peace;devotion","knowledge;moksha;peace;devotion"
jagannath-stotram.json,"devotion;pilgrimage;liberation;peace","devotion;pilgrimage;moksha;peace"
janmashtami-vrat-katha.json,"devotion;protection;spiritual-growth;liberation","devotion;protection;spiritual-growth;moksha"
kaivalya-upanishad.json,"liberation;knowledge;devotion;peace","moksha;knowledge;devotion;peace"
kali-aarti.json,"protection;fearlessness;removal-of-evil;devotion;aarti","protection;fearlessness;removal-of-obstacles;devotion;aarti"
kali-chalisa.json,"protection;fearlessness;removal-of-enemies;devotion","protection;fearlessness;enemy-removal;devotion"
kalki-stotram.json,"devotion;dharma;protection;liberation","devotion;dharma;protection;moksha"
karpura-gauram.json,"devotion;aarti;peace;daily-prayer","devotion;aarti;peace;daily-worship"
karva-chauth-stotram.json,"marital-bliss;family-harmony;longevity;devotion;saubhagya","marital-harmony;family-harmony;longevity;devotion;saubhagya"
kashi-panchakam.json,"liberation;knowledge;devotion;pilgrimage","moksha;knowledge;devotion;pilgrimage"
kashi-vishwanath-stotram.json,"devotion;liberation;pilgrimage;knowledge","devotion;moksha;pilgrimage;knowledge"
kathopanishad-key-verses.json,"knowledge;liberation;peace;fearlessness","knowledge;moksha;peace;fearlessness"
kaupina-panchakam.json,"spiritual-growth;knowledge;liberation;peace;devotion","spiritual-growth;knowledge;moksha;peace;devotion"
kedarnath-stotram.json,"devotion;pilgrimage;liberation;protection","devotion;pilgrimage;moksha;protection"
krishna-sahasranama.json,"devotion;spiritual-growth;knowledge;peace;liberation;archana-puja","devotion;spiritual-growth;knowledge;peace;moksha;archana-puja"
kubera-dwadash-nama.json,"prosperity;wealth;debt-relief;business-success;devotion","prosperity;wealth;debt-removal;devotion"
kubera-gayatri.json,"wealth;prosperity;business-success;japa","wealth;prosperity;japa"
kubera-hridayam.json,"wealth;prosperity;debt-relief","wealth;prosperity;debt-removal"
kubera-lakshmi-stotram.json,"wealth;prosperity;debt-removal;abundance;devotion","wealth;prosperity;debt-removal;devotion"
kubera-mantra.json,"wealth;prosperity;abundance","wealth;prosperity"
